"","Sample.tag.","volumelast","Subspp_Prov.ID","Cytotype","subsppcyt","numdiploids","numtetraploids","numT2n","numT4n","numW4n","numV4n","numV2n"
"1",1,NA,"CO'W-1-5","4n","W4n",2,1,0,0,1,0,2
"2",2,NA,"NVV-1-6","2n","V2n",3,2,0,0,2,0,3
"3",3,NA,"NVV-2-3","2n","V2n",3,2,1,1,1,0,2
"4",4,0.037538579076473,"MTT-1-7","2n","T2n",1,4,0,1,3,0,1
"5",5,NA,"CAV-1-8","2n","V2n",1,4,1,3,1,0,0
"6",6,0.296842212966779,"UT'V-3-5","4n","V4n",1,4,0,1,3,0,1
"7",7,NA,"CAV-2-8","2n","V2n",3,2,0,2,0,0,3
"8",8,0.943827131065606,"UTT-3-8","2n","T2n",3,2,1,0,2,0,2
"9",9,NA,"CA'V-4-3","4n","V4n",3,2,1,0,2,0,2
"10",10,0.212669993369019,"WA'T-2-3","4n","T4n",2,3,2,0,3,0,0
"11",11,0.0536265415378185,"OR'V-1-2","4n","V4n",3,2,3,0,2,0,0
"12",12,0.257407399381529,"UTT-1-10","2n","T2n",2,3,1,0,2,1,1
"13",13,NA,"WA'T-2-6","4n","T4n",2,3,1,0,2,1,1
"14",14,NA,"CAV*W-3-9","2n","V2n",1,4,0,0,1,3,1
"15",15,NA,"ORT*W-2-1","2n","T2n",2,3,1,0,2,1,1
"16",16,NA,"NV'V-3-7","4n","V4n",3,2,3,0,0,2,0
"17",17,NA,"MT'W-1-7","4n","W4n",2,3,2,0,1,2,0
"18",18,0.181394994344163,"UT'W-1-9","4n","W4n",3,2,2,0,0,2,1
"19",19,NA,"IDV-2-4","2n","V2n",2,3,1,0,1,2,1
"20",20,NA,"UTT-1-8","2n","T2n",3,2,2,0,1,1,1
"21",21,NA,"CA'V-4-5","4n","V4n",4,1,3,0,1,0,1
"22",22,NA,"ORT-3-6","2n","T2n",5,0,5,0,0,0,0
"23",23,0.289660546524034,"NM'T-2-5","4n","T4n",3,2,2,0,1,1,1
"24",24,NA,"CA'V-3-1","4n","V4n",4,1,3,0,0,1,1
"25",25,0.555999982664102,"UTT-1-5","2n","T2n",2,3,0,0,2,1,2
"26",26,NA,"NVT*W-1-9","2n","T2n",2,3,1,1,1,1,1
"27",27,NA,"NVT-2-1","2n","T2n",3,2,1,1,1,0,2
"28",28,NA,"NVV-1-10","2n","V2n",1,2,1,1,0,1,0
"29",29,0.122671786298591,"AZ'T-1-6","4n","T4n",3,2,1,0,2,0,2
"30",30,1.15366564304143,"NVT-2-2","2n","T2n",5,3,2,0,3,0,3
"31",31,NA,"ORT-3-7","2n","T2n",4,4,3,2,2,0,1
"32",32,0.206011721971684,"IDV-5-3","2n","V2n",3,5,2,1,4,0,1
"33",33,NA,"UTT-2-2","2n","T2n",2,6,2,4,2,0,0
"34",34,NA,"MTV-1-1","2n","V2n",3,5,2,1,4,0,1
"35",35,NA,"MT'W-3-8","4n","W4n",5,3,3,2,1,0,2
"36",36,0.206011721971684,"IDV-2-3","2n","V2n",6,2,3,0,2,0,3
"37",37,NA,"MTT-1-4","2n","T2n",7,1,4,0,1,0,3
"38",38,NA,"OR'W-1-4","4n","W4n",6,2,5,0,2,0,1
"39",39,0.145006168318261,"CAT-1-2","2n","T2n",4,4,4,1,3,0,0
"40",40,0.620205968316502,"ORT-2-2","2n","T2n",5,3,4,1,1,1,1
"41",41,NA,"WY'W-1-1","4n","W4n",4,4,2,1,2,1,2
"42",42,1.57766711130268,"ORT-2-6","2n","T2n",4,4,2,0,0,4,2
"43",43,NA,"CAV*W-3-1","2n","V2n",3,5,2,1,2,2,1
"44",44,0.0804398123067278,"MT'W-2-5","4n","W4n",3,5,3,2,1,2,0
"45",45,0.0297562953685047,"NVV-2-10","2n","V2n",3,5,3,2,1,2,0
"46",46,0.411851839010446,"NM'T-1-5","4n","T4n",5,3,3,1,0,2,2
"47",47,NA,"CAT-2-7","2n","T2n",4,4,2,0,1,3,2
"48",48,NA,"CAV-1-10","2n","V2n",6,2,3,0,1,1,3
"49",49,0.909780712374076,"NVT*W-1-5","2n","T2n",6,2,4,0,2,0,2
"50",50,NA,"MT'W-2-9","4n","W4n",7,1,5,0,1,0,2
"51",51,NA,"MT'W-2-8","4n","W4n",6,2,4,0,1,1,2
"52",52,0.297562953685047,"CAT-2-1","2n","T2n",7,1,5,0,1,0,2
"53",53,0.0580024673273045,"NM'T-2-3","4n","T4n",5,3,4,0,2,1,1
"54",54,0.444799986131282,"AZ'T*W-1-5","4n","T4n",5,3,3,1,1,1,2
"55",55,0.201807401115119,"ORT-1-5","2n","T2n",4,4,2,0,3,1,2
"56",56,0.113671107566883,"UT'W*V-2-10","4n","W4n",1,4,0,1,2,1,1
"57",57,0.14479166215211,"OR'W-1-1","4n","W4n",4,1,2,0,0,1,2
"58",58,NA,"UTT-3-5","2n","T2n",6,2,2,0,1,1,4
"59",59,0.411439987171436,"CAT-1-4","2n","T2n",4,4,2,2,1,1,2
"60",60,0.101023824010604,"ID'W-2-3","4n","W4n",3,5,2,1,3,1,1
"61",61,0.947688242056329,"WAT-1-5","2n","T2n",2,6,2,4,1,1,0
"62",62,0.0250972214396991,"UT'V-3-2","4n","V4n",3,5,2,2,2,1,1
"63",63,0.107973823793905,"ID'W-1-7","4n","W4n",6,2,3,2,0,0,3
"64",64,0.257887893193708,"WA'T-2-8","4n","T4n",6,2,2,0,2,0,4
"65",65,0.375008259912303,"IDT-1-7","2n","T2n",4,4,2,0,4,0,2
"66",66,0.947825526002666,"UTT-2-1","2n","T2n",3,5,2,0,5,0,1
"67",67,NA,"IDV-5-6","2n","V2n",2,6,2,1,5,0,0
"68",68,NA,"CAV-2-5","2n","V2n",4,4,4,0,3,1,0
"69",69,0.128738020677349,"MT'W-3-3","4n","W4n",2,6,2,1,3,2,0
"70",70,0.30481326210096,"ID'W-3-6","4n","W4n",5,3,5,0,1,2,0
"71",71,0.366994309544892,"ID'W-1-3","4n","W4n",4,4,3,1,1,2,1
"72",72,0.0277999991332051,"CO'V*W-2-3","4n","V4n",6,2,5,1,0,1,1
"73",73,1.07126095425275,"IDT-2-8","2n","T2n",5,3,4,1,0,2,1
"74",74,0.0417343196863919,"UT'V-3-3","4n","V4n",5,3,2,1,0,2,3
"75",75,0.758150593645063,"IDT-2-3","2n","T2n",4,4,1,0,2,2,3
"76",76,0.0549135785347261,"UTT-2-6","2n","T2n",5,3,2,0,3,0,3
"77",77,0.351446902622247,"ORT-1-4","2n","T2n",5,3,4,1,2,0,1
"78",78,0.110204687921879,"UT'W-1-3","4n","W4n",5,3,4,1,2,0,1
"79",79,NA,"OR'W-1-2","4n","W4n",4,4,4,1,2,1,0
"80",80,0.329824681074199,"UT'W*V-2-6","4n","W4n",5,3,2,0,2,1,3
"81",81,NA,"MTT-1-2","2n","T2n",5,3,3,0,2,1,2
"82",82,0.560015538094454,"IDT-3-7","2n","T2n",5,3,3,1,2,0,2
"83",83,NA,"WA'T-2-2","4n","T4n",4,4,4,1,2,1,0
"84",84,0.375008259912303,"UT'W-2-10","4n","W4n",2,3,2,1,1,1,0
"85",85,1.27208162700358,"NVT-1-2","2n","T2n",4,1,2,0,0,1,2
"86",86,0.18761567316255,"AZ'T*W-1-6","4n","T4n",7,1,5,0,1,0,2
"87",87,0.185607895447374,"AZ'T-1-2","4n","T4n",5,3,5,1,1,1,0
"88",88,0.790755530900057,"WAT-1-8","2n","T2n",3,5,3,1,3,1,0
"89",89,0.677899546764548,"NM'T-2-7","4n","T4n",4,4,4,2,2,0,0
"90",90,0.202081969007792,"ORT-3-3","2n","T2n",6,2,6,0,1,1,0
"91",91,0.612835536447544,"ORT-2-3","2n","T2n",7,1,6,1,0,0,1
"92",92,0.49834072520264,"AZ'T-1-4","4n","T4n",7,1,6,0,1,0,1
"93",93,0.221988141226631,"ID'W-3-8","4n","W4n",6,2,4,1,1,0,2
"94",94,0.00494222206812535,"NVV-2-2","2n","V2n",5,3,3,1,2,0,2
"95",95,0.340644372094869,"NM'T-2-1","4n","T4n",4,4,3,2,2,0,1
"96",96,NA,"MT'W-3-5","4n","W4n",6,2,4,1,1,0,2
"97",97,NA,"UT'W-2-1","4n","W4n",5,3,4,1,1,1,1
"98",98,NA,"UTV-1-4","2n","V2n",7,1,5,0,0,1,2
"99",99,0.139429007998328,"NM'T-2-6","4n","T4n",5,3,3,2,0,1,2
"100",100,NA,"WA'T-2-10","4n","T4n",5,3,4,3,0,0,1
"101",101,NA,"ID'W-1-8","4n","W4n",4,4,3,3,0,1,1
"102",102,0.0389199987864872,"IDV-5-8","2n","V2n",7,1,5,1,0,0,2
"103",103,0.00257407399381529,"UT'W-2-5","4n","W4n",6,2,4,0,1,1,2
"104",104,NA,"UTV-1-2","2n","V2n",7,1,4,0,1,0,3
"105",105,NA,"UTT-1-2","2n","T2n",5,3,4,1,2,0,1
"106",106,0.617777758515669,"IDT-3-6","2n","T2n",5,3,4,0,2,1,1
"107",107,0.418278443748338,"ORT*W-3-2","2n","T2n",5,3,4,1,1,1,1
"108",108,NA,"CAV-2-1","2n","V2n",6,2,3,0,1,1,3
"109",109,0.600325536837602,"IDT-2-10","2n","T2n",6,2,5,0,2,0,1
"110",110,0.681099978763525,"NVT*W-1-7","2n","T2n",6,2,4,0,2,0,2
"111",111,0.0130505551486435,"IDV-3-7","2n","V2n",4,4,3,0,3,1,1
"112",112,NA,"UT'W*V-2-3","4n","W4n",3,2,2,0,2,0,1
"113",113,0.189649191617664,"NM'T-1-9","4n","T4n",2,3,2,1,0,2,0
"114",114,0.771261210520229,"NVT-1-9","2n","T2n",4,4,3,1,1,2,1
"115",115,0.127090613321307,"UT'V-3-6","4n","V4n",3,5,3,1,3,1,0
"116",116,1.41526020278623,"ORT-2-8","2n","T2n",4,4,4,0,2,2,0
"117",117,NA,"ORT*W-2-8","2n","T2n",3,5,3,1,2,2,0
"118",118,NA,"NVT*W-1-8","2n","T2n",5,3,4,1,0,2,1
"119",119,NA,"CO'V*W-2-9","4n","V4n",7,1,5,1,0,0,2
"120",120,NA,"IDV-2-7","2n","V2n",7,1,5,0,1,0,2
"121",121,NA,"CAV-2-10","2n","V2n",4,4,3,2,2,0,1
"122",122,1.0939814473715,"ORT-2-10","2n","T2n",4,4,2,1,3,0,2
"123",123,0.0444799986131282,"NVV-2-4","2n","V2n",3,5,1,2,3,0,2
"124",124,1.61687883847514,"COT-1-5","2n","T2n",5,3,1,0,3,0,4
"125",125,0.393524432174481,"NVT-1-3","2n","T2n",6,2,5,0,2,0,1
"126",126,0.0805341950198343,"CA'V-3-6","4n","V4n",7,1,5,0,1,0,2
"127",127,0.376913074667727,"UT'W-1-8","4n","W4n",6,2,5,1,0,1,1
"128",128,NA,"CAV-1-9","2n","V2n",7,1,4,0,0,1,3
"129",129,0.156606661783722,"OR'V-1-9","4n","V4n",5,3,2,1,0,2,3
"130",130,NA,"CAV-1-4","2n","V2n",6,2,3,1,0,1,3
"131",131,0.0116004934654609,"CO'V*W-2-2","4n","V4n",4,4,2,1,2,1,2
"132",132,NA,"CA'V-4-4","4n","V4n",5,3,3,1,2,0,2
"133",133,0.331935421749127,"AZ'T-1-5","4n","T4n",5,3,4,1,2,0,1
"134",134,NA,"NVV-1-3","2n","V2n",5,3,4,1,1,1,1
"135",135,0.462475294222147,"WA'W-1-6","4n","W4n",5,3,5,1,2,0,0
"136",136,0.107973823793905,"CO'W-1-4","4n","W4n",4,4,2,0,2,2,2
"137",137,NA,"NVT-2-10","2n","T2n",5,3,3,0,2,1,2
"138",138,0.0960987624357708,"CO'W-1-8","4n","W4n",6,2,3,0,0,2,3
"139",139,NA,"CAV*W-3-6","2n","V2n",5,3,2,0,1,2,3
"140",140,NA,"CO'W-1-1","4n","W4n",3,2,2,0,0,2,1
"141",141,NA,"ORT-1-8","2n","T2n",3,2,1,1,0,1,2
"142",142,0.169888883591809,"ORT*W-2-5","2n","T2n",5,3,3,0,1,2,2
"143",143,0.590286648261722,"NVT-1-8","2n","T2n",3,5,3,1,3,1,0
"144",144,0.316611101239281,"ID'W-1-10","4n","W4n",5,3,5,0,2,1,0
"145",145,NA,"NM'T-1-2","4n","T4n",5,3,5,1,2,0,0
"146",146,NA,"ID'W-3-9","4n","W4n",6,2,5,1,0,1,1
"147",147,NA,"NVT*W-1-6","2n","T2n",6,2,6,1,0,1,0
"148",148,NA,"CAV-1-5","2n","V2n",7,1,6,0,0,1,1
"149",149,0.0340721594314684,"IDT-3-10","2n","T2n",4,4,4,2,1,1,0
"150",150,NA,"NVV-2-9","2n","V2n",6,2,3,1,1,0,3
"151",151,0.54487998301082,"ORT-3-4","2n","T2n",5,3,2,2,1,0,3
"152",152,0.758150593645063,"NM'T-1-1","4n","T4n",6,2,2,1,1,0,4
"153",153,0.0907790095152192,"UTT-3-6","2n","T2n",6,2,4,2,0,0,2
"154",154,0.049834072520264,"IDT-1-1","2n","T2n",4,4,2,2,1,1,2
"155",155,NA,"MT'W-1-6","4n","W4n",3,5,2,2,1,2,1
"156",156,0.0865918491519463,"NVT*W-1-2","2n","T2n",5,3,3,1,1,1,2
"157",157,0.0340549989381763,"UT'W-2-6","4n","W4n",4,4,3,1,2,1,1
"158",158,0.532764674746596,"WA'T-2-1","4n","T4n",5,3,4,1,2,0,1
"159",159,0.173157957563954,"AZ'T-1-3","4n","T4n",4,4,3,0,4,0,1
"160",160,NA,"ID'W-3-3","4n","W4n",4,4,3,1,3,0,1
"161",161,0.77710435848619,"UTT-2-7","2n","T2n",4,4,4,0,4,0,0
"162",162,0.986728364295861,"ORT-2-7","2n","T2n",5,3,4,0,2,1,1
"163",163,0.145006168318261,"CO'V*W-2-10","4n","V4n",5,3,5,0,2,1,0
"164",164,0.399410481373672,"NM'T-2-8","4n","T4n",5,3,4,0,1,2,1
"165",165,0.0154444439628917,"MT'W-2-3","4n","W4n",6,2,4,0,2,0,2
"166",166,0.0571101216761152,"MT'W-3-10","4n","W4n",5,3,4,0,1,2,1
"167",167,NA,"CAV-2-3","2n","V2n",7,1,4,0,1,0,3
"168",168,NA,"NVT*W-1-4","2n","T2n",4,1,3,0,0,1,1
"169",169,0.532764674746596,"WA'T-2-9","4n","T4n",2,3,2,1,0,2,0
"170",170,1.42088884458604,"CAT-2-6","2n","T2n",5,3,4,1,1,1,1
"171",171,NA,"MT'W-1-3","4n","W4n",5,3,5,1,1,1,0
"172",172,0.532764674746596,"MTT-1-6","2n","T2n",5,3,5,0,2,1,0
"173",173,0.686419731684077,"UTT-1-3","2n","T2n",4,4,4,1,2,1,0
"174",174,NA,"UT'W-1-2","4n","W4n",6,2,5,0,1,1,1
"175",175,NA,"IDV-5-4","2n","V2n",4,4,3,1,2,1,1
"176",176,0.0789382691436688,"CAV-2-9","2n","V2n",6,2,5,0,2,0,1
"177",177,NA,"CAV*W-3-5","2n","V2n",3,5,3,1,3,1,0
"178",178,0.274207522314497,"IDT-1-8","2n","T2n",6,2,4,1,1,0,2
"179",179,NA,"UTV-1-3","2n","V2n",6,2,4,1,1,0,2
"180",180,NA,"UT'W-1-6","4n","W4n",5,3,2,1,1,1,3
"181",181,0.285722213313497,"ORT-2-9","2n","T2n",4,4,3,2,1,1,1
"182",182,NA,"UTT-1-7","2n","T2n",3,5,3,2,1,2,0
"183",183,0.123555551703134,"OR'V-1-3","4n","V4n",4,4,4,2,1,1,0
"184",184,0.416588135159066,"UTT-3-9","2n","T2n",6,2,5,0,0,2,1
"185",185,NA,"IDV-5-1","2n","V2n",5,3,3,0,2,1,2
"186",186,NA,"OR'V-1-8","4n","V4n",5,3,3,1,1,1,2
"187",187,0.270277769350605,"ORT-1-10","2n","T2n",2,6,1,1,4,1,1
"188",188,0.481729367695885,"ORT*W-3-3","2n","T2n",1,7,0,2,4,1,1
"189",189,NA,"UT'W*V-2-1","4n","W4n",3,5,2,1,4,0,1
"190",190,0.660249979413621,"NM'T-1-6","4n","T4n",6,2,5,1,1,0,1
"191",191,NA,"WY'W-2-3","4n","W4n",6,2,5,0,2,0,1
"192",192,0.832455529599864,"WAT-1-6","2n","T2n",7,1,6,0,0,1,1
"193",193,NA,"IDV-5-9","2n","V2n",5,3,3,0,1,2,2
"194",194,NA,"UTT-1-9","2n","T2n",5,3,4,0,0,3,1
"195",195,0.0768704297019706,"WAT-1-9","2n","T2n",5,3,3,0,1,2,2
"196",196,NA,"MTV-1-2","2n","V2n",3,2,2,0,1,1,1
"197",197,1.35107995787377,"WAT-1-1-R","2n","T2n",3,2,2,0,0,2,1
"198",198,0.594714055531084,"ORT-1-3","2n","T2n",5,3,3,0,1,2,2
"199",199,0.226209622576488,"IDT-3-5","2n","T2n",5,3,4,0,2,1,1
"200",200,0.316302212360023,"COT-1-10","2n","T2n",6,2,5,0,2,0,1
"201",201,0.54487998301082,"NM'T-2-4","4n","T4n",5,3,4,1,2,0,1
"202",202,NA,"OR'W-1-3","4n","W4n",7,1,5,1,0,0,2
"203",203,0.481600663996195,"NM'T-1-3","4n","T4n",4,4,1,1,2,1,3
"204",204,0.193055549536147,"NM'T-2-2","4n","T4n",5,3,3,1,1,1,2
"205",205,0.0955153056638393,"NVV-2-5","2n","V2n",4,4,3,1,2,1,1
"206",206,NA,"UT'V-3-1","4n","V4n",5,3,3,1,2,0,2
"207",207,0.645234547783032,"NVT-2-5","2n","T2n",7,1,4,0,1,0,3
"208",208,0.729749977246634,"ORT-1-1","2n","T2n",6,2,3,1,0,1,3
"209",209,NA,"IDV-3-8","2n","V2n",5,3,4,3,0,0,1
"210",210,NA,"MT'W-1-1","4n","W4n",4,4,3,2,0,2,1
"211",211,0.460081405407899,"AZ'T-1-7","4n","T4n",4,4,3,2,1,1,1
"212",212,0.000694999978330128,"OR'V-1-1","4n","V4n",5,3,4,0,1,2,1
"213",213,0.663476152152537,"NVT-2-9","2n","T2n",5,3,4,0,2,1,1
"214",214,0.439308628277809,"UTT-2-8","2n","T2n",4,4,3,0,2,2,1
"215",215,0.515775786387415,"NVT-2-7","2n","T2n",3,5,2,0,5,0,1
"216",216,0.215261227856127,"UT'W*V-2-8","4n","W4n",2,6,2,1,4,1,0
"217",217,NA,"CAV-1-6","2n","V2n",2,6,2,0,6,0,0
"218",218,1.06751996671508,"IDT-1-10","2n","T2n",4,4,4,1,3,0,0
"219",219,NA,"ORT-3-10","2n","T2n",5,3,4,0,3,0,1
"220",220,0.0297562953685047,"NV'V-3-4","4n","V4n",6,2,6,0,2,0,0
"221",221,0.836574047989969,"CAT-2-10","2n","T2n",5,3,4,0,2,1,1
"222",222,NA,"ORT*V-2-1","2n","V2n",6,2,6,0,2,0,0
"223",223,NA,"MT'W-2-6","4n","W4n",4,4,4,1,2,1,0
"224",224,NA,"CO'V*W-2-6","4n","V4n",3,2,3,1,1,0,0
"225",225,0.799249975079647,"CAT-1-5","2n","T2n",4,1,4,1,0,0,0
"226",226,0.62255695589752,"COT-1-1","2n","T2n",5,3,4,1,1,1,1
"227",227,NA,"UTT-3-1","2n","T2n",6,2,6,0,2,0,0
"228",228,0.239388881424822,"AZ'T-1-8","4n","T4n",6,2,5,0,2,0,1
"229",229,0.790755530900057,"AZ'T*W-1-8","4n","T4n",4,4,3,1,3,0,1
"230",230,NA,"IDT-3-3","2n","T2n",4,4,3,1,3,0,1
"231",231,0.294302459959548,"ID'W-3-5","4n","W4n",3,5,1,1,3,1,2
"232",232,0.316302212360023,"CO'W-1-10","4n","W4n",2,6,1,1,4,1,1
"233",233,0.0482638873840367,"ID'W-3-10","4n","W4n",3,5,2,0,3,2,1
"234",234,0.781874975621394,"NVT*W-1-3","2n","T2n",3,5,2,1,3,1,1
"235",235,0.0307516039794466,"ID'W-3-2","4n","W4n",6,2,5,0,1,1,1
"236",236,0.114357527298567,"WA'W1-7","4n","W4n",6,2,5,0,1,1,1
